Model Type,Model,Task Category,Task Group,Task,Metric,Score
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,AIME25,V ∪ A,20%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Last Frame,61.54%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Audio,61.54%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,BBH,V ∩ A,53.85%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,BBH,V ∪ A,61.54%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Last Frame,16.67%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Audio,41.67%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,V ∩ A,16.67%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,V ∪ A,50%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Last Frame,60.0%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Audio,80.0%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,V ∩ A,53.3%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,V ∪ A,86.7%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Last Frame,52%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Audio,40%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,V ∩ A,32%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,V ∪ A,56%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Last Frame,42.86%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Audio,51.43%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,V ∩ A,40%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,V ∪ A,57.14%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVista,Last Frame,50%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVista,Audio,25%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVista,V ∩ A,25%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVista,V ∪ A,55%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVision,Last Frame,45%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVision,Audio,5%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVision,V ∩ A,0%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVision,V ∪ A,50%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Last Frame,35%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Audio,20%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,V ∩ A,15%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,V ∪ A,65%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Last Frame,45%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Audio,10%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,V ∩ A,5%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,V ∪ A,50%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,GSM8K,Last Frame,20%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,GSM8K,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,GSM8K,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,GSM8K,V ∪ A,20%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,MATH-500,Last Frame,10%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,MATH-500,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,MATH-500,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,MATH-500,V ∪ A,10%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME24,Last Frame,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME24,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME24,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME24,V ∪ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME25,Last Frame,20%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME25,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME25,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME25,V ∪ A,20%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Last Frame,15.38%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Audio,30.77%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,BBH,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,BBH,V ∪ A,46.15%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Last Frame,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Audio,33.33%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,V ∪ A,33.33%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Last Frame,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,V ∪ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Last Frame,20%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,V ∪ A,20%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Last Frame,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Audio,5.71%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,V ∪ A,5.71%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVista,Last Frame,5%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVista,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVista,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVista,V ∪ A,5%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVision,Last Frame,30%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVision,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVision,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVision,V ∪ A,30%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Last Frame,5%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Audio,5%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,V ∪ A,10%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Last Frame,10%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,V ∪ A,10%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,GSM8K,Last Frame,30%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,GSM8K,Audio,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,GSM8K,V ∩ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,GSM8K,V ∪ A,30%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,MATH-500,Last Frame,35%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,MATH-500,Audio,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,MATH-500,V ∩ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,MATH-500,V ∪ A,35%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,AIME24,Last Frame,20%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,AIME24,Audio,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,AIME24,V ∩ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,AIME24,V ∪ A,20%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,AIME25,Last Frame,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,AIME25,Audio,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,AIME25,V ∩ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,AIME25,V ∪ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Last Frame,15.38%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Audio,30.77%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,BBH,V ∩ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,BBH,V ∪ A,46.15%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Last Frame,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Audio,16.67%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,V ∩ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,V ∪ A,16.67%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Last Frame,6.67%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Audio,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,V ∩ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,V ∪ A,6.67%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Last Frame,8%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Audio,8%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,V ∩ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,V ∪ A,16%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Last Frame,2.86%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Audio,2.86%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,V ∩ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,V ∪ A,5.71%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal Math Reasoning,MathVista,Last Frame,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal Math Reasoning,MathVista,Audio,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal Math Reasoning,MathVista,V ∩ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal Math Reasoning,MathVista,V ∪ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal Math Reasoning,MathVision,Last Frame,25%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal Math Reasoning,MathVision,Audio,10%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal Math Reasoning,MathVision,V ∩ A,5%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal Math Reasoning,MathVision,V ∪ A,30%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Last Frame,10%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Audio,20%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,V ∩ A,5%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,V ∪ A,25%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Last Frame,10%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Audio,5%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,V ∩ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,V ∪ A,15%
UMGM (TI2TI),BAGEL (Image Output),Text-Centric,Text-Only Math Reasoning,GSM8K,Accuracy,6.67%
UMGM (TI2TI),BAGEL (Image Output),Text-Centric,Text-Only Math Reasoning,MATH-500,Accuracy,0%
UMGM (TI2TI),BAGEL (Image Output),Text-Centric,Text-Only Math Reasoning,AIME24,Accuracy,0%
UMGM (TI2TI),BAGEL (Image Output),Text-Centric,Text-Only Math Reasoning,AIME25,Accuracy,0%
UMGM (TI2TI),BAGEL (Image Output),Text-Centric,Text-Only General Knowledge Reasoning,BBH,Accuracy,0%
UMGM (TI2TI),BAGEL (Image Output),Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Accuracy,0%
UMGM (TI2TI),BAGEL (Image Output),Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Accuracy,6.67%
UMGM (TI2TI),BAGEL (Image Output),Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Accuracy,4%
UMGM (TI2TI),BAGEL (Image Output),Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Accuracy,2.86%
UMGM (TI2TI),BAGEL (Image Output),Text-Centric,Multimodal Math Reasoning,MathVista,Accuracy,25%
UMGM (TI2TI),BAGEL (Image Output),Text-Centric,Multimodal Math Reasoning,MathVision,Accuracy,40%
UMGM (TI2TI),BAGEL (Image Output),Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Accuracy,10%
UMGM (TI2TI),BAGEL (Image Output),Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Accuracy,20%



